MMSI,shipType,shipTypeSpecific
247141500,Anti-Pollution,Anti-Pollution
247342600,Anti-Pollution,Anti-Pollution
247363600,Anti-Pollution,Anti-Pollution
264900078,Anti-Pollution,Anti-Pollution
264900081,Anti-Pollution,Anti-Pollution
264900390,Anti-Pollution,Anti-Pollution
271002200,Anti-Pollution,Anti-Pollution
271010367,Anti-Pollution,Anti-Pollution
271010584,Anti-Pollution,Anti-Pollution
271010585,Anti-Pollution,Anti-Pollution
271010586,Anti-Pollution,Anti-Pollution
271010813,Anti-Pollution,Anti-Pollution
271040306,Anti-Pollution,Anti-Pollution
271041593,Anti-Pollution,Anti-Pollution
271042879,Anti-Pollution,Anti-Pollution
271043741,Anti-Pollution,Anti-Pollution
271043742,Anti-Pollution,Anti-Pollution
271043743,Anti-Pollution,Anti-Pollution
271043744,Anti-Pollution,Anti-Pollution
271043745,Anti-Pollution,Anti-Pollution
271043746,Anti-Pollution,Anti-Pollution
271046934,Anti-Pollution,Anti-Pollution
271047195,Anti-Pollution,Anti-Pollution
272002200,Anti-Pollution,Anti-Pollution
272087200,Anti-Pollution,Anti-Pollution
272153400,Anti-Pollution,Anti-Pollution
312013000,Anti-Pollution,Anti-Pollution
271042584,Anti-Pollution,Pollution Control Vessel
273351610,Anti-Pollution,Pollution Control Vessel
447308000,Anti-Pollution,Pollution Control Vessel
215208000,Cargo,Bulk Carrier
572996210,Cargo,Bulk Carrier
205087000,Cargo,Bulk Carrier
205125000,Cargo,Bulk Carrier
205554000,Cargo,Bulk Carrier
205569000,Cargo,Bulk Carrier
205728000,Cargo,Bulk Carrier
205778000,Cargo,Bulk Carrier
205783000,Cargo,Bulk Carrier
207124000,Cargo,Bulk Carrier
209008000,Cargo,Bulk Carrier
209015000,Cargo,Bulk Carrier
209016000,Cargo,Bulk Carrier
209026000,Cargo,Bulk Carrier
209064000,Cargo,Bulk Carrier
209092000,Cargo,Bulk Carrier
209162000,Cargo,Bulk Carrier
209243000,Cargo,Bulk Carrier
209317000,Cargo,Bulk Carrier
209605000,Cargo,Bulk Carrier
209687000,Cargo,Bulk Carrier
209736000,Cargo,Bulk Carrier
209753000,Cargo,Bulk Carrier
209870000,Cargo,Bulk Carrier
209927000,Cargo,Bulk Carrier
210007000,Cargo,Bulk Carrier
210039000,Cargo,Bulk Carrier
210043000,Cargo,Bulk Carrier
210066000,Cargo,Bulk Carrier
210091000,Cargo,Bulk Carrier
210115000,Cargo,Bulk Carrier
210188000,Cargo,Bulk Carrier
210239000,Cargo,Bulk Carrier
210464000,Cargo,Bulk Carrier
210614000,Cargo,Bulk Carrier
210764000,Cargo,Bulk Carrier
210872000,Cargo,Bulk Carrier
210895000,Cargo,Bulk Carrier
210960000,Cargo,Bulk Carrier
212026000,Cargo,Bulk Carrier
212250000,Cargo,Bulk Carrier
212301000,Cargo,Bulk Carrier
212438000,Cargo,Bulk Carrier
212460000,Cargo,Bulk Carrier
212482000,Cargo,Bulk Carrier
212619000,Cargo,Bulk Carrier
212684000,Cargo,Bulk Carrier
212712000,Cargo,Bulk Carrier
212719000,Cargo,Bulk Carrier
