MMSI,shipType,shipTypeSpecific
201100136,Cargo,General Cargo
201100149,Cargo,General Cargo
203999362,Passenger,"Inland, Passenger Ship, Ferry, Cruise ship"
203999383,Cargo,"Inland, Motor Freighter Pushing Freighter(s)"
203999384,Cargo,"Inland, Pushtow, five cargo barges"
203999385,Cargo,Cargo
203999389,Cargo,"Inland, Motor Freighter Pushing Freighter(s)"
203999390,Cargo,"Inland, Pushtow, two cargo barges"
203999392,Cargo,"Inland, Pushtow, five cargo barges"
203999441,Cargo,"Inland, Pushtow, four cargo barges"
203999452,Cargo,"Inland, Pushtow, nine or more barges"
205050000,Cargo,General Cargo
205087000,Cargo,Bulk Carrier
205125000,Cargo,Bulk Carrier
205365290,Cargo,"Inland, Motor Freighter"
205433390,Cargo,"Inland, Motor Freighter"
205536330,Sailing Vessel,Sailing Vessel
205554000,Cargo,Bulk Carrier
205569000,Cargo,Bulk Carrier
205620700,Sailing Vessel,Sailing Vessel
205642000,Tug,Anchor Handling Vessel
205685000,Tanker,LPG Tanker
205728000,Cargo,Bulk Carrier
205778000,Cargo,Bulk Carrier
205783000,Cargo,Bulk Carrier
206001000,Cargo,Cargo
207008000,Cargo,Rail/Vehicles Carrier
207037000,Sailing Vessel,Sailing Vessel
207072225,Cargo,"Inland, Motor Freighter"
207072227,Cargo,"Inland, Motor Freighter"
207072248,Cargo,"Inland, Motor Freighter"
207072252,Cargo,Cargo
207072268,Cargo,"Inland, Motor Freighter with Ships Alongside"
207072277,Cargo,"Inland, Motor Freighter"
207072342,Cargo,"Inland, Motor Freighter"
207072345,Cargo,"Inland, Motor Freighter with Ships Alongside"
207072346,Cargo,"Inland, Motor Freighter"
207072349,Cargo,Inland Cargo
207072362,Cargo,"Inland, Motor Freighter"
207072364,Cargo,"Inland, Pushtow, one cargo barge"
207072368,Cargo,"Inland, Motor Freighter Pushing Freighter(s)"
207072369,Cargo,"Inland, Motor Freighter"
207072375,Cargo,"Inland, Motor Freighter Pushing Freighter(s)"
207072376,Cargo,"Inland, Pushtow, one cargo barge"
207072385,Tanker,"Inland, Motor Tanker, liquid cargo, type C"
207072386,Cargo,"Inland, Motor Freighter"
207072396,Dredger,"Inland, Maintainance Craft, Cableship, Dredger"
207072425,Tanker,"Inland, Motor Tanker, liquid cargo, type C"
207072427,Cargo,"Inland, Pushtow, three cargo barges"
207072428,Cargo,"Inland, Motor Freighter"
207072429,Tanker,"Inland, Motor Tanker, liquid cargo, type N"
207072433,Passenger,"Inland, Passenger Ship, Ferry, Cruise ship"
207124000,Cargo,Bulk Carrier
207133000,Tanker,Oil Products Tanker
207138000,Cargo,General Cargo
207150409,Cargo,"Inland, Motor Freighter"
207224000,Tug,Tug
207228000,Tanker,Bunkering Tanker
207261012,Tanker,"Inland, Motor Tanker"
207261203,Cargo,"Inland, Pushtow, three cargo barges"
207261205,Cargo,"Inland, Pushtow, six cargo barges"
207261206,Cargo,"Inland, Pushtow, six cargo barges"
207261207,Cargo,"Inland, Pushtow, four cargo barges"
207261208,Cargo,"Inland, Pushtow, six cargo barges"
207261212,Cargo,"Inland, Pushtow, six cargo barges"
207261214,Cargo,"Inland, Pushtow, six cargo barges"
207261215,Wing In Grnd,Wing In Grnd
207261217,Cargo,"Inland, Motor Freighter"
207261305,Dredger,Dredger
207261314,Passenger,"Inland, Passenger Ship, Ferry, Cruise ship"
207261414,Tanker,"Inland, Pushtow, one tank/gas barge"
207261419,Cargo,Inland Cargo
207261424,Dredger,Dredger
207261426,Passenger,"Inland, Passenger Ship, Ferry, Cruise ship"
207261501,Cargo,Cargo
207261814,Cargo,"Inland, Motor Freighter"
207261816,Cargo,"Inland, Motor Freighter"
207261818,Cargo,"Inland, Motor Freighter Pushing Freighter(s)"
207261819,Cargo,"Inland, Motor Freighter"
207261823,Cargo,"Inland, Pushtow, four cargo barges"
207261824,Cargo,"Inland, Motor Freighter"
207261902,Cargo,"Inland, Motor Freighter"
207262337,Tanker,"Inland, Pushtow, two barges at least one tanker"
207277000,Passenger,Ro-Ro/Passenger Ship
207292000,Tanker,Oil Products Tanker
207293000,Fishing,Fishing Vessel
207326000,Fishing,Fishing Vessel
207372000,Tanker,Oil Products Tanker
207373000,Cargo,"Inland, Motor Freighter"
207391000,Tug,Tug
207420000,Fishing,Trawler
207421000,Fishing,Fishing Vessel
207422000,Fishing,Trawler
207424000,Fishing,Trawler
207426000,Fishing,Trawler
207428000,Fishing,Trawler
207451100,Law Enforce,Law Enforce
207451400,Law Enforce,Law Enforce
207453100,Law Enforce,Law Enforce
207453400,Law Enforce,Law Enforce
207501000,Military Ops,Military Ops
207523000,Military Ops,Military Ops
207622290,SAR,SAR
207822280,Fishing,Fishing Vessel
207822340,Fishing,Fishing Vessel
207822380,Tanker,Oil Products Tanker
207822390,Pleasure Craft,Pleasure Craft
207822460,Fishing,Fishing Vessel
207822530,Fishing,Fishing Vessel
207822570,Fishing,Fishing Vessel
207822580,Fishing,Fishing Vessel
