0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,6094,2,2,2,1,2,17,0,2,4,0,48,1,2,1,0,80,0,0,0,2,68
0,325,0,0,0,1,0,1,0,0,0,0,4,0,0,0,0,5,0,0,0,0,1
0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,37,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,46,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,10
0,136,0,0,0,0,0,67,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
0,52,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
0,2,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1
0,287,1,0,0,1,0,0,0,0,0,0,470,0,0,0,0,3,1,0,0,0,23
0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1
0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3
0,7,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,4
0,1163,0,1,0,0,0,2,0,0,0,0,4,0,0,0,0,106,2,0,0,0,19
0,84,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,1
0,55,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,71,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0
0,245,0,0,0,1,2,11,0,0,0,0,53,1,1,0,1,0,0,0,0,0,281
